RunNumber,BeamEnergy,GearGeoFile
505,4.0,gear_totem_dut
506,4.0,gear_totem_dut
518,4.0,gear_totem_dut
520,4.0,gear_totem_dut
521,4.0,gear_totem_dut
531,4.0,gear_totem_dut
532,4.0,gear_totem_dut
533,4.0,gear_totem_dut
534,4.0,gear_totem_dut
535,4.0,gear_totem_dut
536,4.0,gear_totem_dut
543,4.0,gear_totem_dut
544,4.0,gear_totem_dut
594,4.6,gear_totem_dut
595,4.6,gear_totem_dut
596,4.6,gear_totem_dut
597,4.6,gear_totem_dut
598,4.6,gear_totem_dut
599,4.6,gear_totem_dut
600,4.6,gear_totem_dut
601,4.6,gear_totem_dut
602,4.6,gear_totem_dut
603,4.6,gear_totem_dut
620,4.6,gear_totem_dut
621,4.6,gear_totem_dut
622,4.6,gear_totem_dut
623,4.6,gear_totem_dut
624,4.6,gear_totem_dut
625,4.6,gear_totem_dut
626,4.6,gear_totem_dut
627,4.6,gear_totem_dut
628,4.6,gear_totem_dut
629,4.6,gear_totem_dut
630,4.6,gear_totem_dut
631,4.6,gear_totem_dut
636,4.6,gear_totem_dut
637,4.6,gear_totem_dut
638,4.6,gear_totem_dut
639,4.6,gear_totem_dut
640,4.6,gear_totem_dut
641,4.6,gear_totem_dut
642,4.6,gear_totem_dut
643,4.6,gear_totem_dut
646,4.6,gear_totem_dut
648,4.6,gear_totem_dut
650,4.6,gear_totem_dut
651,4.6,gear_totem_dut
658,4.6,gear_totem_dut
659,4.6,gear_totem_dut
660,4.6,gear_totem_dut
661,4.6,gear_totem_dut
662,4.6,gear_totem_dut
663,4.6,gear_totem_dut
664,4.6,gear_totem_dut
665,4.6,gear_totem_dut
666,4.6,gear_totem_dut
667,4.6,gear_totem_dut
668,4.6,gear_totem_dut
669,4.6,gear_totem_dut
